source,target,weight
Node0,Node6,7
Node0,Node9,3
Node0,Node11,6
Node0,Node14,4
Node0,Node17,8
Node0,Node26,9
Node0,Node32,6
Node0,Node34,6
Node0,Node45,8
Node0,Node50,4
Node0,Node58,9
Node0,Node59,8
Node0,Node63,7
Node0,Node64,7
Node0,Node71,7
Node0,Node74,1
Node0,Node75,7
Node0,Node77,2
Node0,Node81,3
Node0,Node87,8
Node0,Node90,10
Node0,Node92,6
Node0,Node102,5
Node0,Node107,5
Node0,Node110,2
Node0,Node122,8
Node0,Node124,3
Node0,Node129,6
Node0,Node151,10
Node0,Node152,1
Node0,Node158,4
Node0,Node176,10
Node0,Node179,3
Node0,Node181,4
Node0,Node183,10
Node0,Node184,2
Node0,Node192,1
Node0,Node193,6
Node0,Node194,6
Node0,Node201,3
Node0,Node207,1
Node0,Node212,6
Node0,Node214,9
Node0,Node221,7
Node0,Node233,8
Node0,Node246,9
Node0,Node260,3
Node0,Node275,10
Node0,Node282,10
Node0,Node287,3
Node0,Node290,8
Node0,Node291,8
Node0,Node292,4
Node0,Node299,6
Node0,Node300,4
Node0,Node303,8
Node0,Node312,5
Node0,Node315,8
Node0,Node317,6
Node0,Node319,8
Node0,Node325,2
Node0,Node328,5
Node0,Node332,4
Node0,Node339,10
Node0,Node340,4
Node0,Node343,8
Node0,Node353,6
Node0,Node358,8
Node0,Node364,1
Node0,Node365,8
Node0,Node369,6
Node0,Node375,3
Node0,Node378,2
Node0,Node379,3
Node0,Node399,4
Node0,Node400,1
Node0,Node401,3
Node0,Node407,7
Node0,Node417,7
Node0,Node427,5
Node0,Node430,4
Node0,Node435,9
Node0,Node439,10
Node0,Node445,7
Node0,Node446,7
Node0,Node458,10
Node0,Node459,8
Node0,Node462,7
Node0,Node468,4
Node0,Node472,5
Node0,Node474,9
Node0,Node476,2
Node0,Node480,7
Node0,Node498,1
Node0,Node506,7
Node0,Node515,6
Node0,Node523,2
Node0,Node529,7
Node0,Node533,4
Node0,Node539,9
Node0,Node540,10
Node0,Node541,5
Node0,Node542,2
Node0,Node550,9
Node0,Node551,3
Node0,Node559,3
Node0,Node561,2
Node0,Node571,2
Node0,Node572,2
Node0,Node574,1
Node0,Node575,5
Node0,Node586,6
Node0,Node612,8
Node0,Node615,3
Node0,Node618,2
Node0,Node622,2
Node0,Node624,1
Node0,Node625,6
Node0,Node626,1
Node0,Node630,2
Node0,Node634,2
Node0,Node636,4
Node0,Node648,9
Node0,Node659,6
Node0,Node666,9
Node0,Node673,1
Node0,Node674,4
Node0,Node681,3
Node0,Node686,7
Node0,Node688,4
Node0,Node691,8
Node0,Node698,10
Node0,Node700,9
Node0,Node701,1
Node0,Node704,1
Node0,Node705,7
Node0,Node712,10
Node0,Node714,4
Node0,Node716,1
Node0,Node720,8
Node0,Node724,6
Node0,Node727,4
Node0,Node730,6
Node0,Node739,9
Node0,Node743,6
Node0,Node747,3
Node0,Node752,8
Node0,Node771,10
Node0,Node774,7
Node0,Node776,2
Node0,Node778,9
Node0,Node782,4
Node0,Node784,6
Node0,Node785,9
Node0,Node803,2
Node0,Node809,5
Node0,Node830,8
Node0,Node836,2
Node0,Node838,3
Node0,Node841,4
Node0,Node848,6
Node0,Node849,3
Node0,Node852,2
Node0,Node854,7
Node0,Node857,4
Node0,Node860,4
Node0,Node861,1
Node0,Node862,9
Node0,Node865,3
Node0,Node867,9
Node0,Node868,10
Node0,Node872,9
Node0,Node875,8
Node0,Node882,10
Node0,Node890,1
Node0,Node891,5
Node0,Node893,3
Node0,Node898,8
Node0,Node903,9
Node0,Node905,10
Node0,Node909,6
Node0,Node913,6
Node0,Node914,10
Node0,Node915,1
Node0,Node924,7
Node0,Node926,7
Node0,Node940,6
Node0,Node948,1
Node0,Node954,1
Node0,Node955,9
Node0,Node959,9
Node0,Node964,2
Node0,Node965,9
Node0,Node967,7
Node0,Node978,9
Node0,Node980,8
Node0,Node984,10
Node0,Node986,6
Node0,Node988,7
Node0,Node990,10
Node0,Node991,7
Node0,Node992,9
Node0,Node993,4
Node0,Node998,5
Node1,Node15,2
Node1,Node16,9
Node1,Node26,8
Node1,Node31,1
Node1,Node34,7
Node1,Node38,5
Node1,Node45,1
Node1,Node47,1
Node1,Node52,3
Node1,Node56,6
Node1,Node62,3
Node1,Node64,5
Node1,Node65,2
Node1,Node67,6
Node1,Node77,2
Node1,Node83,7
Node1,Node86,5
Node1,Node92,1
Node1,Node94,7
Node1,Node103,4
Node1,Node106,4
Node1,Node108,10
Node1,Node111,7
Node1,Node114,8
Node1,Node130,7
Node1,Node132,2
Node1,Node136,9
Node1,Node139,10
Node1,Node147,10
Node1,Node149,1
Node1,Node154,4
Node1,Node160,6
Node1,Node169,2
Node1,Node186,5
Node1,Node189,3
Node1,Node190,5
Node1,Node193,4
Node1,Node196,3
Node1,Node202,8
Node1,Node204,7
Node1,Node206,8
Node1,Node207,9
Node1,Node214,7
Node1,Node216,3
Node1,Node218,4
Node1,Node223,10
Node1,Node230,10
Node1,Node231,4
Node1,Node239,2
Node1,Node263,9
Node1,Node265,4
Node1,Node266,6
Node1,Node270,9
Node1,Node274,8
Node1,Node277,4
Node1,Node296,8
Node1,Node303,6
Node1,Node305,8
Node1,Node314,10
Node1,Node317,2
Node1,Node320,2
Node1,Node328,7
Node1,Node329,5
Node1,Node333,10
Node1,Node335,9
Node1,Node341,1
Node1,Node344,8
Node1,Node351,8
Node1,Node353,3
Node1,Node358,10
Node1,Node359,8
Node1,Node363,6
Node1,Node364,2
Node1,Node371,7
Node1,Node380,2
Node1,Node388,2
Node1,Node389,1
Node1,Node398,3
Node1,Node405,2
Node1,Node409,10
Node1,Node410,4
Node1,Node419,7
Node1,Node421,3
Node1,Node423,4
Node1,Node427,3
Node1,Node433,3
Node1,Node456,1
Node1,Node457,10
Node1,Node460,8
Node1,Node467,7
Node1,Node468,9
Node1,Node473,2
Node1,Node478,10
Node1,Node480,4
Node1,Node488,10
Node1,Node492,5
Node1,Node495,4
Node1,Node501,6
Node1,Node504,2
Node1,Node508,7
Node1,Node509,3
Node1,Node512,4
Node1,Node515,8
Node1,Node518,2
Node1,Node520,10
Node1,Node525,2
Node1,Node526,10
Node1,Node537,1
Node1,Node543,2
Node1,Node549,4
Node1,Node553,2
Node1,Node554,3
Node1,Node557,6
Node1,Node570,1
Node1,Node572,5
Node1,Node574,10
Node1,Node575,3
Node1,Node576,9
Node1,Node582,4
Node1,Node591,6
Node1,Node592,2
Node1,Node593,3
Node1,Node594,2
Node1,Node602,4
Node1,Node603,7
Node1,Node606,4
Node1,Node607,6
Node1,Node611,7
Node1,Node613,2
Node1,Node617,1
Node1,Node623,2
Node1,Node624,8
Node1,Node625,10
Node1,Node626,5
Node1,Node629,3
Node1,Node630,6
Node1,Node631,7
Node1,Node637,6
Node1,Node639,8
Node1,Node640,4
Node1,Node642,4
Node1,Node645,4
Node1,Node647,1
Node1,Node653,1
Node1,Node657,4
Node1,Node660,4
Node1,Node667,3
Node1,Node671,9
Node1,Node676,6
Node1,Node683,8
Node1,Node687,8
Node1,Node694,10
Node1,Node702,9
Node1,Node706,9
Node1,Node707,1
Node1,Node712,7
Node1,Node714,3
Node1,Node727,8
Node1,Node728,10
Node1,Node733,8
Node1,Node747,7
Node1,Node752,8
Node1,Node756,7
Node1,Node757,3
Node1,Node758,9
Node1,Node762,9
Node1,Node763,6
Node1,Node765,4
Node1,Node766,7
Node1,Node770,2
Node1,Node776,10
Node1,Node779,2
Node1,Node780,4
Node1,Node781,5
Node1,Node785,3
Node1,Node790,7
Node1,Node797,10
Node1,Node810,4
Node1,Node819,1
Node1,Node827,5
Node1,Node838,2
Node1,Node839,9
Node1,Node848,1
Node1,Node853,1
Node1,Node856,3
Node1,Node875,8
Node1,Node880,10
Node1,Node884,5
Node1,Node885,9
Node1,Node891,3
Node1,Node895,1
Node1,Node897,6
Node1,Node898,5
Node1,Node900,3
Node1,Node907,1
Node1,Node913,1
Node1,Node918,3
Node1,Node921,5
Node1,Node930,2
Node1,Node941,4
Node1,Node963,6
Node1,Node964,5
Node1,Node975,5
Node1,Node982,2
Node1,Node985,10
Node2,Node3,5
Node2,Node4,10
Node2,Node5,8
Node2,Node7,8
Node2,Node9,6
Node2,Node10,2
Node2,Node13,1
Node2,Node24,3
Node2,Node31,2
Node2,Node34,1
Node2,Node43,9
Node2,Node44,3
Node2,Node45,4
Node2,Node56,6
Node2,Node65,10
Node2,Node67,1
Node2,Node73,4
Node2,Node82,5
Node2,Node83,7
Node2,Node84,6
Node2,Node89,6
Node2,Node91,1
Node2,Node101,8
Node2,Node108,6
Node2,Node109,8
Node2,Node115,10
Node2,Node116,10
Node2,Node129,4
Node2,Node132,6
Node2,Node136,2
Node2,Node143,9
Node2,Node144,2
Node2,Node148,6
Node2,Node159,4
Node2,Node160,3
Node2,Node167,1
Node2,Node168,9
Node2,Node170,2
Node2,Node171,10
Node2,Node173,4
Node2,Node180,5
Node2,Node181,1
Node2,Node182,4
Node2,Node184,9
Node2,Node186,1
Node2,Node190,8
Node2,Node193,5
Node2,Node194,3
Node2,Node202,1
Node2,Node209,9
